PDN@Zigzag-N	E0	ZPE	H	TS	Gcor	G
*	-585.83	0.00	0.00	0.00	0.00	-585.83
HNO	-602.21	0.51	0.58	0.15	0.44	-601.77
N	-591.93	0.11	0.14	0.04	0.10	-591.83
NH	-596.79	0.42	0.45	0.05	0.40	-596.39
NH2	-601.28	0.75	0.80	0.08	0.71	-600.57
NH2O	-605.90	0.83	0.92	0.19	0.72	-605.18
NH3	-605.46	1.08	1.13	0.08	1.04	-604.42
NHOH	-606.74	0.85	0.92	0.15	0.77	-605.97
NO	-599.07	0.20	0.26	0.12	0.14	-598.93
NO2	-604.58	0.33	0.37	0.07	0.30	-604.28
NO2H	-607.78	0.57	0.68	0.22	0.46	-607.32
NOH	-602.11	0.50	0.57	0.15	0.42	-601.69
O	-591.51	0.09	0.12	0.04	0.07	-591.44
OH	-595.41	0.39	0.44	0.09	0.35	-595.06
H	-590.44	0.33	0.33	0.01	0.32	-590.12
